"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","role","averageRating","numVotes"
"tt0318403","video","The Lion King 1½","The Lion King 1½",0,2004,"\N","77","Adventure,Animation,Comedy","soundtrack",6.5,44815
"tt0319758","tvMovie","Live from Baghdad","Live from Baghdad",0,2002,"\N","108","Drama,War","music department",7.2,4767
"tt0319969","tvSeries","Carnivàle","Carnivàle",0,2003,"2005","55","Drama,Fantasy,Mystery","soundtrack",8.4,46334
"tt0323073","videoGame","The Lion King","The Lion King",0,1994,"\N","\N","Action,Adventure,Family","music department",7.8,1916
"tt0323073","videoGame","The Lion King","The Lion King",0,1994,"\N","\N","Action,Adventure,Family","music department",7.8,1916
"tt0323073","videoGame","The Lion King","The Lion King",0,1994,"\N","\N","Action,Adventure,Family","composer",7.8,1916
"tt0323073","videoGame","The Lion King","The Lion King",0,1994,"\N","\N","Action,Adventure,Family","soundtrack",7.8,1916
"tt0323073","videoGame","The Lion King","The Lion King",0,1994,"\N","\N","Action,Adventure,Family","soundtrack",7.8,1916
"tt0325710","movie","The Last Samurai","The Last Samurai",0,2003,"\N","154","Action,Drama","music department",7.8,461286
"tt0325710","movie","The Last Samurai","The Last Samurai",0,2003,"\N","154","Action,Drama","composer",7.8,461286
"tt0325805","movie","Matchstick Men","Matchstick Men",0,2003,"\N","116","Comedy,Crime,Drama","music department",7.3,136146
"tt0325805","movie","Matchstick Men","Matchstick Men",0,2003,"\N","116","Comedy,Crime,Drama","composer",7.3,136146
"tt0325980","movie","Pirates of the Caribbean: The Curse of the Black Pearl","Pirates of the Caribbean: The Curse of the Black Pearl",0,2003,"\N","143","Action,Adventure,Fantasy","music department",8.1,1182189
"tt0327084","movie","Over the Hedge","Over the Hedge",0,2006,"\N","83","Adventure,Animation,Comedy","music department",6.7,186201
"tt0327679","movie","Ella Enchanted","Ella Enchanted",0,2004,"\N","96","Comedy,Family,Fantasy","music department",6.3,72766
"tt0337741","movie","Something's Gotta Give","Something's Gotta Give",0,2003,"\N","128","Comedy,Drama,Romance","composer",6.7,126944
"tt0349683","movie","King Arthur","King Arthur",0,2004,"\N","126","Action,Adventure,Drama","composer",6.3,173941
"tt0349683","movie","King Arthur","King Arthur",0,2004,"\N","126","Action,Adventure,Drama","soundtrack",6.3,173941
"tt0351283","movie","Madagascar","Madagascar",0,2005,"\N","86","Adventure,Animation,Comedy","composer",6.9,426918
"tt0361782","video","Journey to Safety: Making 'Tears of the Sun'","Journey to Safety: Making 'Tears of the Sun'",0,2003,"\N","15","Documentary,Short","composer",5.3,81
"tt0362702","video","Hans Zimmer: Scoring Gladiator","Hans Zimmer: Scoring Gladiator",0,2000,"\N","21","Documentary,Short","composer",7,90
"tt0362702","video","Hans Zimmer: Scoring Gladiator","Hans Zimmer: Scoring Gladiator",0,2000,"\N","21","Documentary,Short","self",7,90
"tt0363639","tvMovie","Gladiator Games: The Roman Bloodsport","Gladiator Games: The Roman Bloodsport",0,2000,"\N","50","Documentary","composer",6.7,96
"tt0364888","tvSeries","Threat Matrix","Threat Matrix",0,2003,"2004","60","Drama,Mystery,Thriller","music department",5.8,354
"tt0364970","movie","Babylon A.D.","Babylon A.D.",0,2008,"\N","90","Action,Adventure,Sci-Fi","music department",5.5,97845
"tt0365017","video","Breaking the Silence: The Making of 'Hannibal'","Breaking the Silence: The Making of 'Hannibal'",0,2001,"\N","75","Documentary","composer",7.1,225
"tt0365017","video","Breaking the Silence: The Making of 'Hannibal'","Breaking the Silence: The Making of 'Hannibal'",0,2001,"\N","75","Documentary","self",7.1,225
"tt0366742","tvMovie","The Making of the Lion King","The Making of the Lion King",0,1994,"\N","26","Documentary,Family","self",7.7,89
"tt0367710","video","The Essence of Combat: Making 'Black Hawk Down'","The Essence of Combat: Making 'Black Hawk Down'",0,2002,"\N","150","Documentary","composer",7.8,238
"tt0367710","video","The Essence of Combat: Making 'Black Hawk Down'","The Essence of Combat: Making 'Black Hawk Down'",0,2002,"\N","150","Documentary","self",7.8,238
"tt0368083","movie","Noam Chomsky: Rebel Without a Pause","Noam Chomsky: Rebel Without a Pause",0,2003,"\N","74","Documentary,War","soundtrack",7.1,611
"tt0369017","video","Thelma & Louise: The Last Journey","Thelma & Louise: The Last Journey",0,2002,"\N","60","Documentary","composer",7.3,128
"tt0369017","video","Thelma & Louise: The Last Journey","Thelma & Louise: The Last Journey",0,2002,"\N","60","Documentary","self",7.3,128
