cname,tname,year,role,,,,
Danny Elfman,When Billie Met Lisa,2022,soundtrack,,,,
Danny Elfman,Tony Hawk: Until the Wheels Fall Off,2022,soundtrack,,,,
Danny Elfman,Central Park,2022,soundtrack,,,,
Danny Elfman,America's Morning Headquarters,N/A,soundtrack,,,,
Danny Elfman,Spider-Man: No Way Home,2021,soundtrack,,,,
Danny Elfman,Diminishing Returns Diminisodes,2021,soundtrack,,,,
Danny Elfman,Space Jam: A New Legacy,2021,soundtrack,,,,
Danny Elfman,Banjo-Kazooie and the NightBear Before Christmas,2020,soundtrack,,,,
Danny Elfman,The Movies That Made Us,N/A,soundtrack,,,,
Danny Elfman,The Nightmare Before Christmas in Concert,2020,soundtrack,,,,
Danny Elfman,Bad Music Video Theatre,2020,soundtrack,,,,
Danny Elfman,The Simpsons,N/A,soundtrack,,,,
Danny Elfman,Prop Culture,N/A,soundtrack,,,,
Danny Elfman,Batwoman,2019,soundtrack,,,,
Danny Elfman,Supergirl,2019,soundtrack,,,,
Danny Elfman,9/1/2001,2019,soundtrack,,,,
Danny Elfman,Stranger Things,N/A,soundtrack,,,,
Danny Elfman,Good Morning Britain,2019,soundtrack,,,,
Danny Elfman,The Lego Movie 2: The Second Part,2019,soundtrack,,,,
Danny Elfman,Bumblebee,N/A,soundtrack,,,,
Danny Elfman,The Grinch,2018,soundtrack,,,,
Danny Elfman,For Facts Sake,2018,soundtrack,,,,
Danny Elfman,The Newcomer,N/A,soundtrack,,,,
Danny Elfman,Teen Titans GO! To the Movies,2018,soundtrack,,,,
Danny Elfman,Seder-Masochism,2018,soundtrack,,,,
Danny Elfman,The Tonight Show Starring Jimmy Fallon,2018,soundtrack,,,,
Danny Elfman,Fifty Shades Freed,2018,soundtrack,,,,
Danny Elfman,"Don't Worry, He Won't Get Far on Foot",2018,soundtrack,,,,
Danny Elfman,The Color of Memory,2017,soundtrack,,,,
Danny Elfman,Granada Reports,N/A,soundtrack,,,,
Danny Elfman,Hollywood in Vienna,N/A,soundtrack,,,,
Danny Elfman,Justice League,2017,soundtrack,,,,
Danny Elfman,Cannonball,2017,soundtrack,,,,
Danny Elfman,Atop the Fourth Wall,2010,soundtrack,,,,
Danny Elfman,Murder Burger,2017,soundtrack,,,,
Danny Elfman,Curriculum,2017,soundtrack,,,,
Danny Elfman,Lakesong,2017,soundtrack,,,,
Danny Elfman,Natural Promotion,2017,soundtrack,,,,
Danny Elfman,The Bridge,N/A,soundtrack,,,,
Danny Elfman,The Forgotten Corner,2017,soundtrack,,,,
Danny Elfman,Blank Class,2017,soundtrack,,,,
Danny Elfman,The Yule Cat: Jólakötturinn,2017,soundtrack,,,,
Danny Elfman,Amelia's Story,2017,soundtrack,,,,
Danny Elfman,Losing Time,N/A,soundtrack,,,,
Danny Elfman,Saturday on Earth,2017,soundtrack,,,,
Danny Elfman,The White Bear Problem,2017,soundtrack,,,,
Danny Elfman,Mystery Science Theater 3000,2017,soundtrack,,,,
Danny Elfman,The Blacklist,2016,soundtrack,,,,
Danny Elfman,Just Add Magic,2016,soundtrack,,,,
Danny Elfman,Cleo and Mason Run This Bitch,2016,soundtrack,,,,
Danny Elfman,Annedroids,2013,soundtrack,,,,
Danny Elfman,Life & Death,2016,soundtrack,,,,
Danny Elfman,Before I Wake,2016,soundtrack,,,,
Danny Elfman,Crap You!,2016,soundtrack,,,,
Danny Elfman,The Great Everything & the Nothing,2016,soundtrack,,,,
Danny Elfman,Alvin and the Chipmunks: The Road Chip,2015,soundtrack,,,,
